fecha,hora,triage_cantidad
13OCT2020,7,8
13OCT2020,6,5
13OCT2020,5,2
13OCT2020,4,3
13OCT2020,3,1
13OCT2020,2,4
13OCT2020,1,3
13OCT2020,0,8
12OCT2020,23,4
12OCT2020,22,7
12OCT2020,21,18
12OCT2020,20,8
12OCT2020,19,15
12OCT2020,18,8
12OCT2020,17,15
12OCT2020,16,22
12OCT2020,15,20
12OCT2020,14,13
12OCT2020,13,15
12OCT2020,12,23
12OCT2020,11,23
12OCT2020,10,15
12OCT2020,9,10
01SEP2020,23,8
01SEP2020,22,9
01SEP2020,21,14
01SEP2020,20,19
01SEP2020,19,19
01SEP2020,18,16
01SEP2020,17,17
01SEP2020,16,17
01SEP2020,15,30
01SEP2020,14,23
01SEP2020,13,16
01SEP2020,12,19
01SEP2020,11,14
01SEP2020,10,17
01SEP2020,9,14
01SEP2020,8,4
01SEP2020,7,3
01SEP2020,6,1
01SEP2020,5,1
01SEP2020,4,1
01SEP2020,3,2
01SEP2020,2,2
01SEP2020,1,8
01SEP2020,0,9
31AUG2020,23,13
31AUG2020,22,16
31AUG2020,21,20
31AUG2020,20,23
31AUG2020,19,17
31AUG2020,18,21
31AUG2020,17,24
31AUG2020,16,30
31AUG2020,15,24
31AUG2020,14,20
31AUG2020,13,14
31AUG2020,12,21
31AUG2020,11,32
31AUG2020,10,19
31AUG2020,9,18
31AUG2020,8,4
31AUG2020,7,5
31AUG2020,6,3
31AUG2020,5,1
31AUG2020,4,2
31AUG2020,3,1
31AUG2020,2,6
31AUG2020,1,6
31AUG2020,0,8
30AUG2020,23,8
30AUG2020,22,15
30AUG2020,21,15
30AUG2020,20,13
30AUG2020,19,12
30AUG2020,18,17
30AUG2020,17,9
30AUG2020,16,14
30AUG2020,15,16
30AUG2020,14,14
30AUG2020,13,11
30AUG2020,12,18
30AUG2020,11,4
30AUG2020,10,11
30AUG2020,9,5
30AUG2020,8,2
30AUG2020,7,1
30AUG2020,6,3
30AUG2020,5,1
30AUG2020,4,2
30AUG2020,3,1
30AUG2020,2,4
30AUG2020,1,5
30AUG2020,0,4
29AUG2020,23,10
29AUG2020,22,13
29AUG2020,21,21
29AUG2020,20,11
29AUG2020,19,19
29AUG2020,18,22
29AUG2020,17,11
29AUG2020,16,11
29AUG2020,15,11
29AUG2020,14,21
29AUG2020,13,16
29AUG2020,12,18
29AUG2020,11,21
29AUG2020,10,13
29AUG2020,9,13
29AUG2020,8,4
29AUG2020,7,2
29AUG2020,6,1
29AUG2020,5,4
29AUG2020,4,2
29AUG2020,2,1
29AUG2020,1,3
29AUG2020,0,8
28AUG2020,23,9
28AUG2020,22,7
28AUG2020,21,9
28AUG2020,20,23
28AUG2020,19,24
28AUG2020,18,16
28AUG2020,17,16
28AUG2020,16,17
28AUG2020,15,25
28AUG2020,14,23
28AUG2020,13,24
28AUG2020,12,23
28AUG2020,11,17
28AUG2020,10,17
28AUG2020,9,10
28AUG2020,8,5
28AUG2020,7,1
28AUG2020,6,3
28AUG2020,5,4
28AUG2020,2,7
28AUG2020,1,3
28AUG2020,0,9
27AUG2020,23,14
27AUG2020,22,19
27AUG2020,21,17
27AUG2020,20,15
27AUG2020,19,27
27AUG2020,18,9
27AUG2020,17,11
27AUG2020,16,22
27AUG2020,15,11
27AUG2020,14,16
27AUG2020,13,22
27AUG2020,12,17
27AUG2020,11,12
27AUG2020,10,19
27AUG2020,9,14
27AUG2020,8,7
27AUG2020,7,2
27AUG2020,6,2
26AUG2020,23,14
26AUG2020,22,11
26AUG2020,21,21
26AUG2020,20,16
26AUG2020,19,14
26AUG2020,18,17
26AUG2020,17,16
26AUG2020,16,16
26AUG2020,15,31
26AUG2020,14,31
26AUG2020,13,18
26AUG2020,12,26
26AUG2020,11,18
26AUG2020,10,16
26AUG2020,9,8
26AUG2020,8,8
26AUG2020,7,5
26AUG2020,6,6
26AUG2020,5,2
26AUG2020,4,1
26AUG2020,3,1
26AUG2020,2,6
26AUG2020,1,4
26AUG2020,0,9
25AUG2020,23,13
25AUG2020,22,13
25AUG2020,21,23
25AUG2020,20,21
25AUG2020,19,27
25AUG2020,18,19
25AUG2020,17,16
25AUG2020,16,22
25AUG2020,15,26
25AUG2020,14,25
25AUG2020,13,28
25AUG2020,12,22
25AUG2020,11,22
25AUG2020,10,23
25AUG2020,9,13
25AUG2020,8,7
25AUG2020,7,8
25AUG2020,6,1
25AUG2020,5,2
25AUG2020,4,1
25AUG2020,3,3
25AUG2020,2,3
25AUG2020,1,4
25AUG2020,0,9
24AUG2020,23,4
24AUG2020,22,14
24AUG2020,21,12
24AUG2020,20,28
24AUG2020,19,27
24AUG2020,18,23
24AUG2020,17,20
24AUG2020,16,24
24AUG2020,15,30
24AUG2020,14,26
24AUG2020,13,21
24AUG2020,12,23
24AUG2020,11,27
24AUG2020,10,13
24AUG2020,9,13
24AUG2020,8,8
24AUG2020,7,9
24AUG2020,6,2
24AUG2020,5,1
24AUG2020,4,5
24AUG2020,3,1
24AUG2020,2,1
24AUG2020,1,7
24AUG2020,0,6
23AUG2020,23,8
23AUG2020,22,10
23AUG2020,21,11
23AUG2020,20,17
23AUG2020,19,12
23AUG2020,18,9
23AUG2020,17,18
23AUG2020,16,12
23AUG2020,15,20
23AUG2020,14,24
23AUG2020,13,15
23AUG2020,12,14
23AUG2020,11,12
23AUG2020,10,8
23AUG2020,9,5
23AUG2020,8,1
23AUG2020,7,1
23AUG2020,6,1
23AUG2020,5,2
23AUG2020,4,1
23AUG2020,3,1
23AUG2020,2,4
23AUG2020,1,6
23AUG2020,0,7
22AUG2020,23,13
22AUG2020,22,17
22AUG2020,21,11
22AUG2020,20,11
22AUG2020,19,11
22AUG2020,18,18
22AUG2020,17,19
22AUG2020,16,15
22AUG2020,15,18
22AUG2020,14,22
22AUG2020,13,11
22AUG2020,12,14
22AUG2020,11,10
22AUG2020,10,15
22AUG2020,9,6
22AUG2020,8,3
22AUG2020,7,1
22AUG2020,6,1
