ano;semana_epidemiologica;fecha_inicio_semana_epidemiologica;grupo_etario;departamento_residencia;n_notificaciones;n_confirmados_probables_fis;n_confirmados_por_laboratorio;n_internados_fecha_internacion;n_internados_uti_fecha_internacion;n_fallecidos_confirmados_por_laboratorio
2023;2;2023-01-08;[40,50);COMUNA 4;1;0;0;0;0;0
2023;2;2023-01-08;[50,60);COMUNA 5;1;1;1;1;1;0
2023;2;2023-01-08;[10,20);COMUNA 6;1;0;0;0;0;0
2023;2;2023-01-08;[20,30);COMUNA 7;2;0;0;0;0;0
2023;2;2023-01-08;[20,30);COMUNA 8;1;0;0;0;0;0
2023;2;2023-01-08;[40,50);COMUNA 8;1;0;0;0;0;0
2023;2;2023-01-08;[0,10);COMUNA 9;2;0;0;0;0;0
2023;3;2023-01-15;[30,40);COMUNA 1;1;0;0;0;0;0
2023;3;2023-01-15;[50,60);COMUNA 1;1;0;0;0;0;0
2023;3;2023-01-15;[20,30);COMUNA 10;1;0;0;0;0;0
2023;3;2023-01-15;[50,60);COMUNA 11;0;1;1;0;0;0
2023;3;2023-01-15;[10,20);COMUNA 4;1;0;0;0;0;0
2023;3;2023-01-15;[0,10);COMUNA 7;1;0;0;0;0;0
2023;3;2023-01-15;[20,30);COMUNA 7;1;0;0;0;0;0
2023;3;2023-01-15;[40,50);COMUNA 7;1;0;0;0;0;0
2023;3;2023-01-15;[50,60);COMUNA 7;1;0;0;0;0;0
2023;3;2023-01-15;[30,40);COMUNA 8;1;0;0;0;0;0
2023;3;2023-01-15;[30,40);COMUNA 9;0;1;1;1;0;0
2023;3;2023-01-15;[30,40);SIN DATOS;1;0;0;0;0;0
2023;4;2023-01-22;[10,20);COMUNA 10;2;0;0;0;0;0
2023;4;2023-01-22;[40,50);COMUNA 10;1;0;0;0;0;0
2023;4;2023-01-22;[70,80);COMUNA 10;1;0;0;0;0;0
2023;4;2023-01-22;[40,50);COMUNA 11;0;1;1;0;0;0
2023;4;2023-01-22;[50,60);COMUNA 11;1;0;0;0;0;0
2023;4;2023-01-22;[70,80);COMUNA 12;1;0;0;0;0;0
2023;4;2023-01-22;[50,60);COMUNA 3;1;0;0;0;0;0
2023;4;2023-01-22;[60,70);COMUNA 4;1;0;0;0;0;0
2023;4;2023-01-22;[40,50);COMUNA 7;1;0;0;0;0;0
2023;4;2023-01-22;[20,30);COMUNA 8;1;0;0;0;0;0
2023;4;2023-01-22;[10,20);COMUNA 9;1;0;0;0;0;0
2023;4;2023-01-22;[30,40);COMUNA 9;2;0;0;0;0;0
2023;4;2023-01-22;[50,60);COMUNA 9;1;0;0;0;0;0
2023;4;2023-01-22;[30,40);SIN DATOS;2;0;0;0;0;0
2023;5;2023-01-29;[20,30);COMUNA 1;1;0;0;0;0;0
2023;5;2023-01-29;[40,50);COMUNA 11;2;1;0;0;0;0
2023;5;2023-01-29;[70,80);COMUNA 11;0;1;1;0;0;0
