,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Status_Developed,Status_Developing
0,-0.44540825887569646,0.7921191336697194,0.26882377510289057,-1.1569889149677832,-0.33557031172637525,-0.7838067693513558,-0.11038437249132538,-0.9673487432471953,0.25535912366021274,-3.2794225352523183,0.9314854292804652,-0.7353909152225975,-0.3234448000817086,-0.45337071840072257,0.4351831180494918,2.815209004853497,2.7753857295330517,-0.7379734118649457,-0.5850169808706739,-0.4593985099361714,0.4593985099361714
1,-0.9818270691044185,0.8566014116379703,0.2857863783534794,-1.1569889149677832,-0.3344413196904387,-0.9142808645195903,-0.16812370772244872,-0.9924340559731321,0.2740602388458842,-1.0536989454036347,0.9398175068049464,-0.8622325724655471,-0.3234448000817086,-0.451231665001673,-0.18334897809217368,2.883439324646437,2.8199779195448533,-0.752600088333354,-0.6156487623359487,-0.4593985099361714,0.4593985099361714
2,-0.9818270691044185,0.8324205573998763,0.30274898160406827,-1.1569889149677832,-0.3345944403160823,-0.8272981344074339,-0.17353131917914003,-1.0175193686990687,0.2927613540315556,-0.8824894384921976,0.9189873129937434,-0.777671467636914,-0.3234448000817086,-0.4497988400971825,0.39806616980713694,2.928926204508397,2.8645701095566554,-0.7818534412701706,-0.6462805438012235,-0.4593985099361714,0.4593985099361714
3,-1.023899132651769,0.8646616963840017,0.32819288647995154,-1.1569889149677832,-0.3320964370773485,-0.6968240392391994,0.03204513571475379,-1.0426046814250052,0.31769617427911756,-0.6684775548529012,1.0814628247211298,-0.6508298103939643,-0.3234448000817086,-0.44692438202870455,-0.12096840131764657,2.9744130843703567,2.9314583945743586,-0.8159823530297897,-0.6769123252664984,-0.4593985099361714,0.4593985099361714
4,-1.055453180312282,0.8888425506220958,0.3451554897305404,-1.1569889149677832,-0.36786215776366954,-0.6533326741831214,0.05175675166978986,-1.0626729316057546,0.3426309945266795,-0.6256751781250418,0.8106703051754852,-0.6085492579796478,-0.3234448000817086,-0.4925394145309803,-0.1342680890791705,3.042643404163297,2.9760505845861602,-0.8598623824350146,-0.7688076696623233,-0.4593985099361714,0.4593985099361714
5,-1.0975252438596332,0.9210836896062212,0.37059939460642366,-1.1569889149677832,-0.3313441882727278,-0.7403154042952776,-0.0375560569052408,-1.0877582443316913,0.3737995198361319,-0.7112799315807604,1.3647534605534963,-0.6931103628082809,-0.3234448000817086,-0.45569729264900644,-0.13603491569713974,3.088130284025257,3.0206427745979623,-0.8891157353718312,-0.8607030140581482,-0.4593985099361714,0.4593985099361714
6,-1.118561275633308,0.937204259098284,0.39604329948230693,-1.1569889149677832,-0.342874386143724,-0.8707894994635121,0.03849938164693374,-1.1128435570576278,0.39873434008369385,-0.8396870617643383,1.4564063133227918,-0.8199520200512306,-0.3234448000817086,-0.4637785993513956,-0.1841497264580655,3.1336171638872177,3.0875310596156655,-0.9573735588910699,-0.9525983584539727,-0.4593985099361714,0.4593985099361714
7,-1.1711513550674966,0.9855659675744721,0.4214872043581902,-1.1518885372563956,-0.3584150665528864,-0.8272981344074339,-0.07157167735862162,-1.1379288697835646,0.4236691603312557,-0.796884685036479,1.0023080882385569,-0.777671467636914,-0.3234448000817086,-0.4692344685010154,-0.13888118169743435,3.1791040437491778,3.132123249627467,-0.9622491177138727,-1.0138619213845228,-0.4593985099361714,0.4593985099361714
8,-1.2342594503885227,1.0500482455427231,0.43844980760877905,-1.1544387261120896,-0.365943717270008,-0.8707894994635121,-0.11151822650643807,-1.163014182509501,0.44237027551692715,-0.8396870617643383,0.33574188628004686,-0.8199520200512306,-0.3234448000817086,-0.46949964301862973,0.3033690619089025,3.2245909236111374,3.17671543963927,-1.0500091765243225,-1.1057572657803472,-0.4593985099361714,0.4593985099361714
9,-1.2552954821621984,1.0500482455427231,0.4554124108593679,-1.1518885372563956,-0.36279346797279566,-0.8272981344074339,-0.03746883736561675,-1.1880994952354378,0.4610713907025986,-1.0536989454036347,0.6273645996368947,-1.0313547821228133,-0.3234448000817086,-0.47681644273521817,-0.14147473180227169,3.2700778034730975,3.2213076296510716,-1.0987647647523497,-1.1976526101761722,-0.4593985099361714,0.4593985099361714
